Ticker,Company_Name,Sector,Industry,Market_Cap_Cat,Cap_value
GODREJPROP.NS,Godrej Properties Ltd.,Real Estate,Realty,Mid,510755569664
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Basic Materials,Chemicals,Mid,508598583296
MAHABANK.NS,Bank of Maharashtra,Financial Services,Financial Services,Mid,503796826112
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Cyclical,Consumer Services,Mid,496400007168
MPHASIS.NS,MphasiS Ltd.,Technology,Information Technology,Mid,495495380992
VOLTAS.NS,Voltas Ltd.,Consumer Cyclical,Consumer Durables,Mid,475150483456
PIIND.NS,PI Industries Ltd.,Basic Materials,Chemicals,Mid,474087784448
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Financial Services,Mid,468882325504
SUPREMEIND.NS,Supreme Industries Ltd.,Industrials,Capital Goods,Mid,467406815232
BDL.NS,Bharat Dynamics Ltd.,Industrials,Capital Goods,Mid,464801234944
360ONE.NS,360 ONE WAM Ltd.,Financial Services,Financial Services,Mid,451965747200
TIINDIA.NS,Tube Investments of India Ltd.,Industrials,Automobile and Auto Components,Mid,447716982784
PETRONET.NS,Petronet LNG Ltd.,Energy,Oil Gas & Consumable Fuels,Mid,444900048896
JKCEMENT.NS,J.K. Cement Ltd.,Basic Materials,Construction Materials,Mid,443519729664
TATACOMM.NS,Tata Communications Ltd.,Communication Services,Telecommunication,Mid,437474983936
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,Financial Services,Mid,428009652224
KEI.NS,KEI Industries Ltd.,Industrials,Capital Goods,Mid,424466612224
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Mid,420957028352
ESCORTS.NS,Escorts Kubota Ltd.,Industrials,Capital Goods,Mid,414464147456
LTTS.NS,L&T Technology Services Ltd.,Technology,Information Technology,Mid,408191074304
UBL.NS,United Breweries Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Mid,403217842176
PAGEIND.NS,Page Industries Ltd.,Consumer Cyclical,Textiles,Mid,397767442432
DALBHARAT.NS,Dalmia Bharat Ltd.,Basic Materials,Construction Materials,Mid,397609598976
ASTRAL.NS,Astral Ltd.,Industrials,Capital Goods,Mid,396554502144
3MINDIA.NS,3M India Ltd.,Industrials,Diversified,Mid,394277453824
COCHINSHIP.NS,Cochin Shipyard Ltd.,Industrials,Capital Goods,Mid,393362407424
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Cyclical,Consumer Durables,Mid,393337176064
CONCOR.NS,Container Corporation of India Ltd.,Industrials,Services,Mid,388996366336
BLUESTARCO.NS,Blue Star Ltd.,Industrials,Consumer Durables,Mid,384660406272
PGHH.NS,Procter & Gamble Hygiene & Health Care Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Mid,384659718144
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Financial Services,Mid,384344784896
APARINDS.NS,Apar Industries Ltd.,Industrials,Capital Goods,Mid,378921320448
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Cyclical,Consumer Services,Mid,378453917696
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Basic Materials,Chemicals,Mid,376675663872
HEXT.NS,Hexaware Technologies Ltd.,Technology,Information Technology,Mid,374747791360
RADICO.NS,Radico Khaitan Ltd,Consumer Defensive,Fast Moving Consumer Goods,Mid,365529235456
AIAENG.NS,AIA Engineering Ltd.,Industrials,Capital Goods,Mid,362922901504
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,Financial Services,Mid,361520005120
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,Healthcare,Mid,358257459200
UCOBANK.NS,UCO Bank,Financial Services,Financial Services,Mid,358122061824
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Cyclical,Consumer Services,Mid,357942296576
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,Financial Services,Mid,356717494272
PREMIERENE.NS,Premier Energies Ltd.,Technology,Capital Goods,Mid,356370743296
NLCINDIA.NS,NLC India Ltd.,Utilities,Power,Mid,355949641728
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,Healthcare,Mid,353927692288
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Mid,349047390208
CRISIL.NS,CRISIL Ltd.,Financial Services,Financial Services,Mid,347730149376
ENDURANCE.NS,Endurance Technologies Ltd.,Consumer Cyclical,Automobile and Auto Components,Mid,343709679616
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Mid,339104333824
GODREJIND.NS,Godrej Industries Ltd.,Industrials,Diversified,Mid,335912304640
CENTRALBK.NS,Central Bank of India,Financial Services,Financial Services,Mid,335171485696
KPRMILL.NS,K.P.R. Mill Ltd.,Consumer Cyclical,Textiles,Mid,334661648384
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Basic Materials,Chemicals,Mid,329524609024
DELHIVERY.NS,Delhivery Ltd.,Industrials,Services,Mid,324871290880
TATAELXSI.NS,Tata Elxsi Ltd.,Technology,Information Technology,Mid,324456972288
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Energy,Oil Gas & Consumable Fuels,Mid,323400237056
